,idx,ap_val,sa_val,bp_val,city_id,signal_idx,case,fault_cat,healthy/faulty,ap_fault,sa_fault,bp_fault
0,0,38.8,52.35,0.0,1,0,0,0,0,0,0,0
1,1,38.8,51.3,0.0,1,0,0,0,0,0,0,0
2,2,38.8,50.1,0.0,1,0,0,0,0,0,0,0
3,3,38.8,49.05,0.0,1,0,0,0,0,0,0,0
4,4,38.8,48.0,0.0,1,0,0,0,0,0,0,0
5,5,38.8,46.5,0.0,1,0,0,0,0,0,0,0
6,6,38.8,45.45,0.0,1,0,0,0,0,0,0,0
7,7,38.8,44.55,0.0,1,0,0,0,0,0,0,0
8,8,38.8,43.5,0.0,1,0,0,0,0,0,0,0
9,9,38.4,42.6,0.0,1,0,0,0,0,0,0,0
10,10,38.4,41.85,0.0,1,0,0,0,0,0,0,0
11,11,38.4,40.95,0.0,1,0,0,0,0,0,0,0
12,12,38.4,40.2,0.0,1,0,0,0,0,0,0,0
13,13,38.4,39.3,0.0,1,0,0,0,0,0,0,0
14,14,38.4,38.55,0.0,1,0,0,0,0,0,0,0
15,15,38.4,37.8,0.0,1,0,0,0,0,0,0,0
16,16,38.4,37.05,0.0,1,0,0,0,0,0,0,0
17,17,38.4,36.3,0.0,1,0,0,0,0,0,0,0
18,18,38.4,34.95,0.0,1,0,0,0,0,0,0,0
19,19,38.4,34.05,0.0,1,0,0,0,0,0,0,0
20,20,38.0,33.3,0.0,1,0,0,0,0,0,0,0
21,21,38.0,32.55,0.0,1,0,0,0,0,0,0,0
22,22,38.0,31.8,0.0,1,0,0,0,0,0,0,0
23,23,38.0,31.05,0.0,1,0,0,0,0,0,0,0
24,24,38.0,30.15,-0.3000000000000007,1,0,0,0,0,0,0,0
25,25,38.0,29.4,0.0,1,0,0,0,0,0,0,0
26,26,38.0,28.65,0.0,1,0,0,0,0,0,0,0
27,27,38.0,28.05,0.0,1,0,0,0,0,0,0,0
28,28,38.0,27.3,0.0,1,0,0,0,0,0,0,0
29,29,38.0,26.55,0.0,1,0,0,0,0,0,0,0
30,30,38.0,25.5,0.0,1,0,0,0,0,0,0,0
31,31,38.0,24.9,0.0,1,0,0,0,0,0,0,0
32,32,37.6,24.3,0.0,1,0,0,0,0,0,0,0
33,33,37.6,23.7,0.0,1,0,0,0,0,0,0,0
34,34,37.6,23.1,0.0,1,0,0,0,0,0,0,0
35,35,37.6,22.5,0.0,1,0,0,0,0,0,0,0
36,36,37.6,21.9,0.0,1,0,0,0,0,0,0,0
37,37,37.6,21.3,0.0,1,0,0,0,0,0,0,0
38,38,37.6,20.7,0.0,1,0,0,0,0,0,0,0
39,39,37.6,20.1,-0.3000000000000007,1,0,0,0,0,0,0,0
40,40,37.6,19.5,0.0,1,0,0,0,0,0,0,0
41,41,37.6,18.9,0.0,1,0,0,0,0,0,0,0
42,42,37.6,18.0,0.0,1,0,0,0,0,0,0,0
43,43,37.6,17.55,-0.3000000000000007,1,0,0,0,0,0,0,0
44,44,37.6,16.95,0.0,1,0,0,0,0,0,0,0
45,45,37.6,16.5,0.0,1,0,0,0,0,0,0,0
46,46,37.6,15.9,0.0,1,0,0,0,0,0,0,0
47,47,37.6,15.45,0.0,1,0,0,0,0,0,0,0
48,48,37.6,15.0,0.0,1,0,0,0,0,0,0,0
49,49,37.6,14.55,0.0,1,0,0,0,0,0,0,0
50,50,37.6,14.1,-0.3000000000000007,1,0,0,0,0,0,0,0
51,51,37.6,13.8,-0.3000000000000007,1,0,0,0,0,0,0,0
52,52,37.6,13.35,0.0,1,0,0,0,0,0,0,0
53,53,37.6,13.05,0.0,1,0,0,0,0,0,0,0
54,54,37.6,12.45,-0.3000000000000007,1,0,0,0,0,0,0,0
55,55,37.6,12.15,-0.3000000000000007,1,0,0,0,0,0,0,0
56,56,37.6,11.85,0.0,1,0,0,0,0,0,0,0
57,57,37.6,11.55,0.0,1,0,0,0,0,0,0,0
58,58,37.6,11.4,0.0,1,0,0,0,0,0,0,0
59,59,37.6,11.1,0.0,1,0,0,0,0,0,0,0
60,60,37.6,10.95,0.0,1,0,0,0,0,0,0,0
61,61,37.6,10.8,-0.3000000000000007,1,0,0,0,0,0,0,0
62,62,37.6,10.65,0.0,1,0,0,0,0,0,0,0
63,63,37.6,10.5,0.0,1,0,0,0,0,0,0,0
64,64,37.6,10.5,0.0,1,0,0,0,0,0,0,0
65,65,37.6,10.35,0.0,1,0,0,0,0,0,0,0
66,66,37.6,10.35,0.0,1,0,0,0,0,0,0,0
67,67,37.6,10.35,0.0,1,0,0,0,0,0,0,0
68,68,37.6,10.35,-0.3000000000000007,1,0,0,0,0,0,0,0
69,69,37.6,10.35,0.0,1,0,0,0,0,0,0,0
70,70,37.6,10.35,0.0,1,0,0,0,0,0,0,0
71,71,37.6,10.35,0.0,1,0,0,0,0,0,0,0
72,72,37.6,10.35,0.0,1,0,0,0,0,0,0,0
73,73,37.6,10.35,0.0,1,0,0,0,0,0,0,0
74,74,37.6,10.35,-0.3000000000000007,1,0,0,0,0,0,0,0
75,75,37.6,10.35,0.0,1,0,0,0,0,0,0,0
76,76,37.6,10.35,0.0,1,0,0,0,0,0,0,0
77,77,37.6,10.35,0.0,1,0,0,0,0,0,0,0
78,78,37.6,10.35,0.0,1,0,0,0,0,0,0,0
79,79,37.6,10.35,0.0,1,0,0,0,0,0,0,0
80,80,37.6,10.35,0.0,1,0,0,0,0,0,0,0
81,81,37.6,10.35,0.0,1,0,0,0,0,0,0,0
82,82,37.6,10.35,0.0,1,0,0,0,0,0,0,0
83,83,37.6,10.35,0.0,1,0,0,0,0,0,0,0
84,84,37.6,10.35,0.0,1,0,0,0,0,0,0,0
85,85,37.6,10.2,0.0,1,0,0,0,0,0,0,0
86,86,37.6,10.2,0.0,1,0,0,0,0,0,0,0
87,87,37.6,10.2,-0.3000000000000007,1,0,0,0,0,0,0,0
88,88,37.6,10.2,0.0,1,0,0,0,0,0,0,0
89,89,37.6,10.2,0.0,1,0,0,0,0,0,0,0
90,90,37.6,10.2,0.0,1,0,0,0,0,0,0,0
91,91,37.6,10.05,0.0,1,0,0,0,0,0,0,0
92,92,37.6,10.05,0.0,1,0,0,0,0,0,0,0
93,93,37.6,10.05,0.0,1,0,0,0,0,0,0,0
94,94,37.6,9.9,0.0,1,0,0,0,0,0,0,0
95,95,37.6,9.9,0.0,1,0,0,0,0,0,0,0
96,96,37.6,9.9,0.0,1,0,0,0,0,0,0,0
97,97,37.6,9.9,0.0,1,0,0,0,0,0,0,0
98,98,37.6,9.9,-0.3000000000000007,1,0,0,0,0,0,0,0
99,99,37.6,9.9,-0.3000000000000007,1,0,0,0,0,0,0,0
100,100,37.6,9.9,0.0,1,0,0,0,0,0,0,0
101,101,37.6,9.9,0.0,1,0,0,0,0,0,0,0
102,102,37.6,9.75,0.0,1,0,0,0,0,0,0,0
103,103,37.6,9.75,0.0,1,0,0,0,0,0,0,0
104,104,37.6,9.75,0.0,1,0,0,0,0,0,0,0
105,105,37.6,9.75,0.0,1,0,0,0,0,0,0,0
106,106,37.6,9.75,0.0,1,0,0,0,0,0,0,0
107,107,37.6,9.75,-0.3000000000000007,1,0,0,0,0,0,0,0
108,108,37.6,9.75,0.0,1,0,0,0,0,0,0,0
109,109,37.6,9.75,0.0,1,0,0,0,0,0,0,0
110,110,37.6,9.75,-0.3000000000000007,1,0,0,0,0,0,0,0
111,111,37.6,9.75,-0.3000000000000007,1,0,0,0,0,0,0,0
112,112,37.6,9.75,0.0,1,0,0,0,0,0,0,0
113,113,37.6,9.75,0.0,1,0,0,0,0,0,0,0
114,114,37.6,9.75,0.0,1,0,0,0,0,0,0,0
115,115,37.6,9.75,0.0,1,0,0,0,0,0,0,0
116,116,37.6,9.75,0.0,1,0,0,0,0,0,0,0
117,117,37.6,9.75,0.0,1,0,0,0,0,0,0,0
118,118,37.6,9.75,0.0,1,0,0,0,0,0,0,0
119,119,37.6,9.9,0.0,1,0,0,0,0,0,0,0
120,120,37.6,9.9,-0.3000000000000007,1,0,0,0,0,0,0,0
121,121,37.6,10.05,0.0,1,0,0,0,0,0,0,0
122,122,37.6,10.05,-0.3000000000000007,1,0,0,0,0,0,0,0
123,123,37.6,10.05,0.0,1,0,0,0,0,0,0,0
124,124,37.6,10.2,0.0,1,0,0,0,0,0,0,0
125,125,37.6,10.2,-0.3000000000000007,1,0,0,0,0,0,0,0
126,126,37.6,10.35,0.0,1,0,0,0,0,0,0,0
127,127,37.6,10.5,0.0,1,0,0,0,0,0,0,0
128,128,37.6,10.5,0.0,1,0,0,0,0,0,0,0
129,129,37.2,10.65,0.0,1,0,0,0,0,0,0,0
130,130,37.2,10.65,0.0,1,0,0,0,0,0,0,0
131,131,37.2,10.8,0.0,1,0,0,0,0,0,0,0
132,132,37.2,10.95,-0.3000000000000007,1,0,0,0,0,0,0,0
133,133,37.2,11.1,0.0,1,0,0,0,0,0,0,0
134,134,37.2,11.25,0.0,1,0,0,0,0,0,0,0
135,135,37.2,11.25,0.0,1,0,0,0,0,0,0,0
136,136,37.2,11.4,0.0,1,0,0,0,0,0,0,0
137,137,37.2,11.55,-0.3000000000000007,1,0,0,0,0,0,0,0
138,138,37.2,11.55,0.0,1,0,0,0,0,0,0,0
139,139,37.2,11.7,0.0,1,0,0,0,0,0,0,0
